row_id,phone_number_hash,area_code,carrier_id,user_region,timestamp,call_duration_seconds,answered,call_frequency_24h,call_frequency_7d,spoofing_signal,complaint_count_7d,complaint_count_30d,known_business,business_verified,known_scam_cluster,blocklist_match,allowlist_match,first_seen_days_ago,risk_score,risk_label,high_risk_binary
1,f240b90b7e9da21e,313,carrier_att,US-IL,2026-05-01T08:13:00,59,1,3,45,0,1,3,1,0,0,0,0,146,0.15,Unknown,0
2,cd883153787c1051,900,carrier_verizon,US-OH,2026-05-14T16:17:00,0,0,14,79,0,3,3,0,0,0,0,0,8,0.45,Unknown,0
3,ad8099f97822484c,313,carrier_att,US-TX,2026-05-13T08:35:00,564,1,3,3,0,0,1,0,0,0,0,0,104,0.35,Safe,0
4,b876176e33a4190a,800,carrier_voip_002,US-FL,2026-05-12T11:23:00,86,1,3,39,0,2,1,0,0,0,0,0,104,0.35,Unknown,0
5,19dc5ce82c5352c1,713,carrier_voip_001,US-IL,2026-05-18T13:43:00,86,1,13,19,0,1,8,1,0,0,0,0,104,0.15,Unknown,0
6,90cf00257524c1eb,888,carrier_voip_002,US-NC,2026-05-15T10:16:00,0,0,22,118,0,4,16,0,0,0,0,0,9,0.55,Suspicious,1
7,a73d49c7ce6557a8,876,carrier_verizon,US-NY,2026-05-17T21:05:00,0,0,5,18,0,0,1,0,0,0,0,0,284,0.35,Safe,0
8,5e3de57cb53ad82e,312,carrier_att,US-FL,2026-05-04T14:49:00,581,1,1,13,0,0,2,1,1,0,0,0,601,0.0,Safe,0
9,1e98cd7ca94fcb1e,614,carrier_att,US-CA,2026-05-10T22:38:00,534,1,3,0,0,0,2,0,0,0,0,1,572,0.02,Safe,0
10,de0e52d409125d5e,900,carrier_att,US-CA,2026-05-03T21:52:00,261,1,4,0,0,0,2,1,1,0,0,0,374,0.0,Safe,0
11,f82bc856290fbed9,215,carrier_verizon,US-NC,2026-05-10T18:42:00,0,0,3,17,0,0,0,1,0,0,0,0,276,0.15,Safe,0
12,9d54f561c8a9ccc7,704,carrier_verizon,US-TX,2026-05-03T07:55:00,75,1,1,7,0,0,0,1,1,0,0,1,285,0.02,Safe,0
13,6f7bc738ef69b47f,614,carrier_sprint,US-GA,2026-05-07T09:06:00,499,1,3,6,0,0,2,1,0,0,0,0,544,0.15,Safe,0
14,4d1f30b7dd578f1e,404,carrier_verizon,US-CA,2026-05-07T12:34:00,126,1,5,1,0,0,2,1,1,0,0,1,407,0.02,Safe,0
15,1e6847cd1b06cf3f,215,carrier_att,US-TX,2026-05-03T13:10:00,568,1,1,2,0,0,1,0,0,0,0,0,160,0.35,Safe,0
16,55bf0e27e724187e,713,carrier_voip_002,US-IL,2026-05-18T21:09:00,0,0,38,65,1,5,22,0,0,0,0,0,28,0.75,Suspicious,1
17,086d1601c18d1b76,404,carrier_att,US-NY,2026-05-06T08:38:00,70,1,11,17,1,2,0,0,0,0,0,0,142,0.55,Unknown,0
18,aa8b9876507a5395,415,carrier_voip_001,US-FL,2026-05-07T16:15:00,0,0,97,276,1,52,116,0,0,1,0,0,9,1.0,High Risk,1
19,c27518ecb14280dc,305,carrier_verizon,US-CA,2026-05-12T08:56:00,286,1,0,0,0,0,1,1,1,0,0,1,610,0.02,Safe,0
20,5d7fafcfb1330114,888,carrier_tmobile,US-NC,2026-05-04T10:16:00,582,1,4,9,0,0,2,0,0,0,0,0,601,0.35,Safe,0
21,89069b65ea945e9e,876,carrier_sprint,US-FL,2026-05-09T07:05:00,0,0,2,19,0,0,0,0,0,0,0,1,709,0.02,Safe,0
22,8c206cd5458198a9,704,carrier_att,US-IL,2026-05-04T08:56:00,452,1,2,4,0,0,2,0,0,0,0,1,512,0.02,Safe,0
23,a84b4e6659dce8f2,614,carrier_sprint,US-NC,2026-05-12T12:43:00,0,0,28,191,1,5,23,0,0,0,0,0,28,0.75,Suspicious,1
24,e534ab4fff475013,404,carrier_voip_001,US-IL,2026-05-14T13:17:00,52,1,23,89,1,6,37,0,0,1,0,0,16,1.0,Suspicious,1
25,1260f703b2df0281,614,carrier_voip_002,US-NC,2026-05-11T14:55:00,0,0,17,101,1,10,21,0,0,1,0,0,3,1.0,Suspicious,1
26,e915156100185dea,404,carrier_tmobile,US-MI,2026-05-11T19:38:00,459,1,4,10,0,0,0,1,0,0,0,1,331,0.02,Safe,0
27,2b0f405540f732da,305,carrier_tmobile,US-GA,2026-05-11T09:46:00,86,1,0,13,0,0,0,1,0,0,0,0,261,0.15,Safe,0
28,4a31091c5e898525,404,carrier_sprint,US-MI,2026-05-18T06:19:00,323,1,5,9,0,0,2,1,1,0,0,0,238,0.0,Safe,0
29,63e336685948b00c,800,carrier_tmobile,US-FL,2026-05-17T16:05:00,0,0,8,69,0,3,7,0,0,0,0,0,50,0.45,Unknown,0
30,16de5065a209665c,900,carrier_sprint,US-NY,2026-05-16T18:15:00,214,1,1,4,0,0,0,1,0,0,0,0,134,0.15,Safe,0
31,9237168f0f7e324c,404,carrier_voip_002,US-NC,2026-05-17T16:48:00,13,1,17,95,0,15,40,0,0,0,0,0,30,0.55,Suspicious,1
32,c8f4d546c7ba0485,305,carrier_tmobile,US-OH,2026-05-15T08:45:00,259,1,1,15,0,0,1,1,1,0,0,0,593,0.0,Safe,0
33,0a8ae0f7b7668423,876,carrier_tmobile,US-GA,2026-05-18T20:26:00,432,1,4,2,0,0,0,1,1,0,0,1,279,0.02,Safe,0
34,7c5e7822f4283ac7,404,carrier_sprint,US-PA,2026-05-18T13:31:00,0,0,4,0,0,0,2,1,1,0,0,0,459,0.0,Safe,0
35,b4ab002856b472b0,415,carrier_att,US-IL,2026-05-03T19:08:00,418,1,2,12,0,0,2,1,1,0,0,1,697,0.02,Safe,0
36,1a829efaf6c6e325,900,carrier_sprint,US-IL,2026-05-01T07:22:00,98,1,2,6,0,0,1,1,1,0,0,0,491,0.0,Safe,0
37,9d931905368344f6,900,carrier_voip_002,US-CA,2026-05-09T17:10:00,18,1,40,113,1,6,36,0,0,1,0,0,24,1.0,Suspicious,1
38,9f828c6407e165e3,900,carrier_unknown,US-MI,2026-05-04T15:54:00,45,1,38,446,1,16,79,0,0,0,0,0,3,1.0,High Risk,1
39,61955f3bc38ba6bb,888,carrier_voip_002,US-CA,2026-05-04T19:23:00,0,0,21,186,1,9,31,0,0,0,0,0,30,0.75,Suspicious,1
